Sample	Gender	Pop	Sub.pop	hg19	hg38
NA20771	female	EUR	TSI	Y	Y
NA20783	male	EUR	TSI	Y	Y
NA19030	female	AFR	LWK	Y	Y
NA20505	female	EUR	TSI	Y	Y
NA19035	male	AFR	LWK	Y	Y
NA20512	male	EUR	TSI	Y	Y
NA19042	female	AFR	LWK	Y	Y
NA19054	female	EAS	JPT	Y	Y
NA20524	male	EUR	TSI	Y	Y
NA18962	male	EAS	JPT	Y	Y
NA19428	male	AFR	LWK	Y	Y
NA18967	male	EAS	JPT	Y	Y
NA19430	male	AFR	LWK	Y	Y
NA18974	male	EAS	JPT	Y	Y
NA20896	female	SAS	GIH	Y	Y
NA18948	male	EAS	JPT	Y	Y
NA19315	female	AFR	LWK	Y	Y
NA20911	male	SAS	GIH	Y	Y
NA19078	female	EAS	JPT	Y	Y
NA19346	male	AFR	LWK	Y	Y
NA20822	female	EUR	TSI	Y	Y
NA19080	female	EAS	JPT	Y	Y
NA19682	male	AMR	MXL	Y	Y
