Sample	Gender	Pop	Sub.pop	hg19	hg38
HG01447	female	AMR	CLM	Y	Y
HG01842	male	EAS	KHV	Y	Y
HG02090	male	AMR	PEL	Y	Y
HG01459	female	AMR	CLM	Y	Y
HG01859	female	EAS	KHV	Y	Y
HG02064	male	EAS	KHV	Y	Y
HG01461	male	AMR	CLM	Y	Y
HG01861	male	EAS	KHV	Y	Y
HG01866	male	EAS	KHV	Y	Y
HG02076	male	EAS	KHV	Y	Y
HG01353	male	AMR	CLM	Y	Y
HG01777	male	EUR	IBS	Y	Y
HG02095	female	AFR	ACB	Y	Y
HG01804	female	EAS	CDX	Y	Y
HG01360	female	AMR	CLM	Y	Y
HG01809	female	EAS	CDX	Y	Y
HG02122	male	EAS	KHV	Y	Y
HG02052	female	AFR	ACB	Y	Y
HG01524	male	EUR	IBS	Y	Y
HG01695	female	EUR	IBS	Y	Y
HG02057	female	EAS	KHV	Y	Y
HG01396	female	AMR	PUR	Y	Y
HG02019	female	EAS	KHV	Y	Y
HG01708	male	EUR	IBS	Y	Y
HG02134	male	EAS	KHV	Y	Y
HG02016	female	EAS	KHV	Y	Y
HG02139	female	EAS	KHV	Y	Y
HG01435	female	AMR	CLM	Y	Y
HG01885	male	AFR	ACB	Y	Y
HG01892	male	AMR	PEL	Y	Y
HG02165	female	EAS	CDX	Y	Y
HG01912	male	AFR	ACB	Y	Y
HG02266	female	AMR	PEL	Y	Y
HG01917	male	AMR	PEL	Y	Y
HG01924	female	AMR	PEL	Y	Y
HG02278	female	AMR	PEL	Y	Y
HG02398	male	EAS	CDX	Y	Y
HG01550	male	AMR	CLM	Y	Y
HG02406	male	EAS	CDX	Y	Y
HG01613	female	EUR	IBS	Y	Y
HG01878	female	EAS	KHV	Y	Y
HG02420	male	AFR	ACB	Y	Y
HG01618	female	EUR	IBS	Y	Y
HG01620	female	EUR	IBS	Y	Y
HG02374	male	EAS	CDX	Y	Y
HG02379	male	EAS	CDX	Y	Y
HG01598	female	EAS	KHV	Y	Y
HG01950	male	AMR	PEL	Y	Y
HG01974	male	AMR	PEL	Y	Y
HG01606	male	EUR	IBS	Y	Y
HG01979	male	AMR	PEL	Y	Y
HG01668	female	EUR	IBS	Y	Y
HG02343	male	AFR	ACB	Y	Y
HG01670	female	EUR	IBS	Y	Y
HG01967	male	AMR	PEL	Y	Y
HG02348	female	AMR	PEL	Y	Y
HG01675	male	EUR	IBS	Y	Y
HG02355	male	EAS	CDX	Y	Y
HG01682	male	EUR	IBS	Y	Y
HG02259	male	AMR	PEL	Y	Y
HG01694	male	EUR	IBS	Y	Y
HG02150	male	AMR	PEL	Y	Y
HG01699	male	EUR	IBS	Y	Y
HG02155	female	EAS	CDX	Y	Y
HG01702	female	EUR	IBS	Y	Y
HG02047	male	EAS	KHV	Y	Y
HG02054	female	AFR	ACB	Y	Y
HG02235	female	EUR	IBS	Y	Y
HG02312	female	AMR	PEL	Y	Y
HG01771	male	EUR	IBS	Y	Y
HG02023	male	EAS	KHV	Y	Y
HG02386	male	EAS	CDX	Y	Y
HG02588	male	AFR	GWD	Y	Y
HG01815	female	EAS	CDX	Y	Y
HG02595	female	AFR	GWD	Y	Y
HG01841	female	EAS	KHV	Y	Y
HG02603	male	SAS	PJL	Y	Y
